event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Nicolo Basso,2:00:35,0:20:13,0:58:40,0:36:39,1,n25-29,ITA,1387,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Maxime Campenet,2:05:10,0:21:51,1:00:25,0:38:06,2,n25-29,FRA,1395,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Michael Dalmasso,2:09:38,0:24:43,0:59:39,0:39:36,3,n45-49,FRA,1301,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Franck Santos,2:11:07,0:24:45,1:00:41,0:40:09,4,n45-49,FRA,1293,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Rafael Le Moal,2:12:59,0:28:04,1:00:28,0:38:29,5,n20-24,FRA,1034,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Delort Alexandre,2:14:03,0:23:59,1:01:30,0:42:43,6,n45-49,FRA,1273,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Edoardo Massimiliano Beilis,2:15:08,0:23:55,1:03:56,0:41:37,7,n25-29,ITA,1085,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Walter Kaspirowitsch,2:15:14,0:24:58,1:00:18,0:43:07,8,n45-49,DEU,1383,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Yoann Carpentier,2:15:24,0:29:23,0:59:52,0:40:24,9,n30-34,FRA,1389,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Alexandre Plazolles,2:15:30,0:23:00,1:03:06,0:42:34,10,n25-29,FRA,1125,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Christophe Carpene,2:15:54,0:23:33,1:04:02,0:42:18,11,n35-39,FRA,1202,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Bastien Guillemot,2:16:43,0:26:07,1:04:58,0:39:37,12,n20-24,FRA,1031,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Silvestrini Mariachiara,2:17:48,0:24:55,1:15:17,0:31:05,13,f35-39,ITA,1229,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Victor Mignard,2:17:53,0:25:04,1:06:29,0:40:51,14,n20-24,FRA,1394,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Vatalaro Matteo,2:18:02,0:27:12,1:01:32,0:43:21,15,n25-29,ITA,1386,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Julien Magnaud,2:19:09,0:32:00,0:47:32,0:49:18,16,n30-34,FRA,1176,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Carlo Spaggiari,2:19:49,0:26:05,1:05:46,0:40:35,17,n20-24,ITA,1045,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Charles-Henri Lheureux,2:20:11,0:25:34,1:16:23,0:32:16,18,n25-29,FRA,1124,sportstats
T100 Triathlon World Tour - French Riviera,2025-08-30,Olympic Triathlon,51500,Robin Aubery,2:20:24,0:20:31,1:04:07,0:49:34,19,n20-24,FRA,1051,sportstats
