event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Kwangjun Pak,2:00:33,,,,1,n25-29,KOR,1207,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Wanhyuk Kim,2:01:54,,,,2,n30-34,KOR,1335,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Austin Bennie,2:04:34,,,,3,n20-24,AUS,1078,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Gwang Jae Seo,2:05:53,,,,4,n20-24,KOR,1085,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Cooper Lewis,2:06:49,,,,5,n20-24,AUS,1046,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Sam Russell,2:06:51,,,,6,n35-39,AUS,1521,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Thomas Hopkins,2:07:41,,,,7,n40-44,GBR,1604,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Michael Welsh,2:08:10,,,,8,n30-34,AUS,1382,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Francesco Puccini,2:10:50,,,,9,n35-39,ITA,1453,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Dylan Turner,2:11:55,,,,10,n35-39,AUS,1519,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Hugo Matsui,2:12:21,,,,11,n25-29,JPN,1199,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Carl Ashdown,2:12:39,,,,12,n35-39,AUS,1490,sportstats
T100 Triathlon World Tour - Gold Coast,2026-03-22,Olympic Triathlon,51500,Jonathan Nguyen,2:13:41,,,,13,n20-24,AUS,1043,sportstats
