event_name,event_date,race_name,distance_m,athlete_name,finish_time,swim_time,bike_time,run_time,overall_position,category,country,bib,source
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Sam Beattie,1:03:27,0:09:41,0:31:37,0:17:02,1,n18-19,GBR,2666,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Liam Jordan,1:09:49,0:10:43,0:33:22,0:18:37,2,n20-24,GBR,2626,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,"Team Fast, Frail & Fat-Bootied",1:11:03,0:10:52,0:35:38,0:18:08,3,open relay,GBR,3612,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Maurten Uk,1:12:47,0:12:22,0:34:49,0:18:04,4,city am team,GBR,3669,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Hannah Wardley,1:13:32,0:11:17,0:35:13,0:19:26,5,f25-29,GBR,3271,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Terra Manufacturing,1:13:34,0:11:10,0:34:49,0:21:08,6,city am team,GBR,3658,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Axel Surirey,1:13:38,0:14:11,0:32:57,0:18:15,7,n20-24,FRA,2982,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Kieran Wye,1:14:51,0:11:07,0:37:54,0:19:02,8,n30-34,GBR,2669,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Oliver Payne,1:14:53,0:15:11,0:32:58,0:19:36,9,n25-29,GBR,2635,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Simon Hoppe,1:15:00,0:12:13,0:33:28,0:21:41,10,n55-59,GBR,2612,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Keir Strava,1:15:08,0:15:34,0:30:58,0:21:03,11,city am team,GBR,3655,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Andreas Adamides,1:15:11,0:12:48,0:35:03,0:19:47,12,n35-39,CYP,2674,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Supertri,1:15:11,0:13:41,0:34:43,0:19:31,13,city am team,BEL,3664,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Science In Sport,1:15:53,0:12:05,0:34:57,0:22:04,14,city am team,GBR,3661,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Pto Team 1,1:16:06,0:13:54,0:36:24,0:18:28,15,city am team,GBR,3665,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Talking Triathlon,1:16:27,0:11:42,0:37:29,0:20:29,16,city am team,GBR,3656,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Robert Evans,1:16:59,0:13:28,0:36:08,0:20:25,17,n25-29,GBR,2683,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Populous Parklife,1:17:08,0:15:34,0:35:50,0:18:04,18,city am team,AUS,3653,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Dara Dhesi,1:17:28,0:11:54,0:38:58,0:19:50,19,n18-19,GBR,2609,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Iron,1:17:49,0:13:55,0:32:11,0:23:04,20,city am team,GBR,3666,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Taylor Manning,1:18:20,0:13:01,0:37:29,0:20:20,21,n25-29,NZL,2652,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Simone Piacenti,1:18:27,0:12:31,0:36:03,0:21:53,22,n50-54,ITA,2673,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Luke Bishop,1:18:29,0:13:41,0:35:10,0:21:01,23,n25-29,GBR,2664,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Third Space Tb,1:18:40,0:15:15,0:32:07,0:23:57,24,city am team,GBR,3668,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Ellie Garrett,1:19:20,0:13:41,0:34:33,0:22:49,25,f30-34,GBR,3402,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Harvey Taylor,1:19:42,0:14:04,0:38:40,0:19:57,26,n20-24,GBR,2646,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Enjoy Travel Sprint Team,1:19:44,0:14:54,0:35:43,0:21:05,27,city am team,GBR,3648,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Saskia Van Brakel,1:19:44,0:11:45,0:38:07,0:20:42,28,f25-29,NLD,3237,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Bethany Clifford,1:20:01,0:11:30,0:38:44,0:21:14,29,f18-19,GBR,3001,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Heming Media,1:20:02,0:14:15,0:38:32,0:19:29,30,city am team,GBR,3647,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Joe Spencer,1:20:22,0:12:36,0:39:27,0:19:54,31,n25-29,GBR,2630,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team World Triathlon,1:20:23,0:11:38,0:40:41,0:20:56,32,city am team,GBR,3663,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Team Zabel,1:20:24,0:14:16,0:32:12,0:24:27,33,city am team,DEU,3671,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Michael Garvey,1:21:00,0:13:08,0:37:33,0:19:56,34,n35-39,GBR,2983,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Ben Brownleader,1:21:28,0:14:00,0:38:29,0:20:42,35,n20-24,GBR,2604,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Michael Hall,1:21:59,0:13:36,0:38:46,0:20:53,36,n35-39,GBR,3059,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Tom Dods,1:22:12,0:11:09,0:38:00,0:23:28,37,n25-29,NZL,2637,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Adam Conyers,1:22:18,0:15:16,0:36:15,0:22:04,38,n60-64,GBR,2639,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Team Challenge Family,1:22:21,0:13:21,0:38:49,0:22:42,39,city am team,NLD,3667,sportstats
T100 Triathlon World Tour - London,2025-08-09,Sprint Triathlon,25750,Harry Williams,1:22:24,0:14:32,0:36:41,0:21:27,40,n25-29,GBR,2910,sportstats
